Herb Name,Botanical Name,Common Uses,Active Compounds,Preparation Form,Health Conditions Treated,Dosage,Side Effects,Interactions,Region Origin
Hibiscus Variant-152,Hibiscus sabdariffa,Blood pressure control,"Anthocyanins, Hibiscic acid",Tea,Hypertension,2–6g/day,Stomach upset,Enhances anticoagulants,Africa
Bitter Leaf Variant-153,Vernonia amygdalina,"Detoxifier, appetite stimulant","Vernodalin, Lactones","Leaf juice, decoction","Malaria, diabetes",3–9g/day,Liver stress (overdose),None known,South America
Neem Variant-154,Azadirachta indica,"Antibacterial, skin purifier","Azadirachtin, Nimbin","Leaf extract, oil","Skin infections, malaria",5–8g/day,None known,Avoid with diabetes drugs,South America
Scent Leaf Variant-155,Ocimum gratissimum,"Antimicrobial, respiratory aid","Eugenol, Thymol","Leaf infusion, oil","Cough, infections",5–8g/day,None known,Avoid with diabetes drugs,Asia
Hibiscus Variant-156,Hibiscus sabdariffa,Blood pressure control,"Anthocyanins, Hibiscic acid",Tea,Hypertension,1–9g/day,Stomach upset,None known,India
Ginger Variant-157,Zingiber officinale,"Anti-inflammatory, digestion aid","Gingerol, Shogaol","Tea, powder, capsule","Nausea, arthritis, cold",1–8g/day,Liver stress (overdose),None known,Middle East
Ginger Variant-158,Zingiber officinale,"Anti-inflammatory, digestion aid","Gingerol, Shogaol","Tea, powder, capsule","Nausea, arthritis, cold",4–9g/day,Dizziness,Enhances anticoagulants,Europe
Bitter Leaf Variant-159,Vernonia amygdalina,"Detoxifier, appetite stimulant","Vernodalin, Lactones","Leaf juice, decoction","Malaria, diabetes",4–6g/day,Dizziness,Avoid with diabetes drugs,Middle East
Aloe Vera Variant-160,Aloe barbadensis,"Wound healing, digestion","Aloin, Acemannan","Gel, juice","Burns, ulcers, constipation",2–7g/day,Liver stress (overdose),Avoid with diabetes drugs,India
Neem Variant-161,Azadirachta indica,"Antibacterial, skin purifier","Azadirachtin, Nimbin","Leaf extract, oil","Skin infections, malaria",1–9g/day,Liver stress (overdose),Avoid with laxatives,Asia
Clove Variant-162,Syzygium aromaticum,"Pain relief, antiseptic",Eugenol,"Powder, oil","Toothache, infections",5–10g/day,Stomach upset,Enhances anticoagulants,Africa
Scent Leaf Variant-163,Ocimum gratissimum,"Antimicrobial, respiratory aid","Eugenol, Thymol","Leaf infusion, oil","Cough, infections",3–6g/day,Liver stress (overdose),Avoid with laxatives,Europe
Neem Variant-164,Azadirachta indica,"Antibacterial, skin purifier","Azadirachtin, Nimbin","Leaf extract, oil","Skin infections, malaria",2–9g/day,Dizziness,May interact with blood thinners,South America
Scent Leaf Variant-165,Ocimum gratissimum,"Antimicrobial, respiratory aid","Eugenol, Thymol","Leaf infusion, oil","Cough, infections",4–6g/day,Liver stress (overdose),May interact with blood thinners,Asia
Garlic Variant-166,Allium sativum,"Antibacterial, heart health",Allicin,"Raw, capsule","Hypertension, infection",1–7g/day,Mild heartburn,May interact with blood thinners,Middle East
Ginger Variant-167,Zingiber officinale,"Anti-inflammatory, digestion aid","Gingerol, Shogaol","Tea, powder, capsule","Nausea, arthritis, cold",1–10g/day,Dizziness,Avoid with diabetes drugs,South America
Clove Variant-168,Syzygium aromaticum,"Pain relief, antiseptic",Eugenol,"Powder, oil","Toothache, infections",3–8g/day,Mild heartburn,Avoid with laxatives,South America
Hibiscus Variant-169,Hibiscus sabdariffa,Blood pressure control,"Anthocyanins, Hibiscic acid",Tea,Hypertension,2–8g/day,Stomach upset,None known,Europe
Clove Variant-170,Syzygium aromaticum,"Pain relief, antiseptic",Eugenol,"Powder, oil","Toothache, infections",3–10g/day,Dizziness,Enhances anticoagulants,India
Clove Variant-171,Syzygium aromaticum,"Pain relief, antiseptic",Eugenol,"Powder, oil","Toothache, infections",2–9g/day,Stomach upset,May interact with blood thinners,Africa
Scent Leaf Variant-172,Ocimum gratissimum,"Antimicrobial, respiratory aid","Eugenol, Thymol","Leaf infusion, oil","Cough, infections",4–7g/day,Liver stress (overdose),May interact with blood thinners,Africa
Hibiscus Variant-173,Hibiscus sabdariffa,Blood pressure control,"Anthocyanins, Hibiscic acid",Tea,Hypertension,3–6g/day,Liver stress (overdose),Avoid with diabetes drugs,Middle East
Clove Variant-174,Syzygium aromaticum,"Pain relief, antiseptic",Eugenol,"Powder, oil","Toothache, infections",5–8g/day,None known,Enhances anticoagulants,Asia
Garlic Variant-175,Allium sativum,"Antibacterial, heart health",Allicin,"Raw, capsule","Hypertension, infection",1–9g/day,Mild heartburn,Avoid with diabetes drugs,India
Ginger Variant-176,Zingiber officinale,"Anti-inflammatory, digestion aid","Gingerol, Shogaol","Tea, powder, capsule","Nausea, arthritis, cold",4–6g/day,Mild heartburn,Avoid with laxatives,Middle East
Aloe Vera Variant-177,Aloe barbadensis,"Wound healing, digestion","Aloin, Acemannan","Gel, juice","Burns, ulcers, constipation",1–8g/day,Liver stress (overdose),May interact with blood thinners,India
Moringa Variant-178,Moringa oleifera,"Immune booster, energy tonic","Quercetin, Chlorogenic acid","Leaf powder, tea","Fatigue, diabetes",4–7g/day,None known,Avoid with laxatives,Asia
Neem Variant-179,Azadirachta indica,"Antibacterial, skin purifier","Azadirachtin, Nimbin","Leaf extract, oil","Skin infections, malaria",3–10g/day,Mild heartburn,None known,India
Ginger Variant-180,Zingiber officinale,"Anti-inflammatory, digestion aid","Gingerol, Shogaol","Tea, powder, capsule","Nausea, arthritis, cold",2–7g/day,Stomach upset,None known,India
Ginger Variant-181,Zingiber officinale,"Anti-inflammatory, digestion aid","Gingerol, Shogaol","Tea, powder, capsule","Nausea, arthritis, cold",3–8g/day,None known,Avoid with laxatives,Africa
Bitter Leaf Variant-182,Vernonia amygdalina,"Detoxifier, appetite stimulant","Vernodalin, Lactones","Leaf juice, decoction","Malaria, diabetes",3–10g/day,Mild heartburn,None known,Africa
Clove Variant-183,Syzygium aromaticum,"Pain relief, antiseptic",Eugenol,"Powder, oil","Toothache, infections",1–6g/day,Liver stress (overdose),Avoid with diabetes drugs,India
Garlic Variant-184,Allium sativum,"Antibacterial, heart health",Allicin,"Raw, capsule","Hypertension, infection",5–10g/day,Liver stress (overdose),Enhances anticoagulants,Middle East
Neem Variant-185,Azadirachta indica,"Antibacterial, skin purifier","Azadirachtin, Nimbin","Leaf extract, oil","Skin infections, malaria",5–6g/day,Liver stress (overdose),Enhances anticoagulants,India
Hibiscus Variant-186,Hibiscus sabdariffa,Blood pressure control,"Anthocyanins, Hibiscic acid",Tea,Hypertension,2–9g/day,Mild heartburn,May interact with blood thinners,Middle East
Ginger Variant-187,Zingiber officinale,"Anti-inflammatory, digestion aid","Gingerol, Shogaol","Tea, powder, capsule","Nausea, arthritis, cold",3–7g/day,None known,None known,Middle East
Turmeric Variant-188,Curcuma longa,"Anti-inflammatory, antioxidant",Curcumin,"Powder, capsule","Arthritis, liver issues",1–8g/day,Dizziness,None known,Africa
Garlic Variant-189,Allium sativum,"Antibacterial, heart health",Allicin,"Raw, capsule","Hypertension, infection",2–6g/day,Stomach upset,Avoid with laxatives,Middle East
Clove Variant-190,Syzygium aromaticum,"Pain relief, antiseptic",Eugenol,"Powder, oil","Toothache, infections",5–6g/day,Dizziness,Enhances anticoagulants,India
Turmeric Variant-191,Curcuma longa,"Anti-inflammatory, antioxidant",Curcumin,"Powder, capsule","Arthritis, liver issues",5–6g/day,Mild heartburn,Avoid with diabetes drugs,India
Aloe Vera Variant-192,Aloe barbadensis,"Wound healing, digestion","Aloin, Acemannan","Gel, juice","Burns, ulcers, constipation",3–6g/day,Dizziness,Enhances anticoagulants,India
Hibiscus Variant-193,Hibiscus sabdariffa,Blood pressure control,"Anthocyanins, Hibiscic acid",Tea,Hypertension,1–8g/day,Stomach upset,Avoid with diabetes drugs,Europe
Moringa Variant-194,Moringa oleifera,"Immune booster, energy tonic","Quercetin, Chlorogenic acid","Leaf powder, tea","Fatigue, diabetes",2–10g/day,Dizziness,Avoid with laxatives,Europe
Aloe Vera Variant-195,Aloe barbadensis,"Wound healing, digestion","Aloin, Acemannan","Gel, juice","Burns, ulcers, constipation",3–10g/day,Liver stress (overdose),Avoid with laxatives,Europe
Garlic Variant-196,Allium sativum,"Antibacterial, heart health",Allicin,"Raw, capsule","Hypertension, infection",5–6g/day,Stomach upset,Avoid with laxatives,Europe
Bitter Leaf Variant-197,Vernonia amygdalina,"Detoxifier, appetite stimulant","Vernodalin, Lactones","Leaf juice, decoction","Malaria, diabetes",2–6g/day,Liver stress (overdose),May interact with blood thinners,India
Neem Variant-198,Azadirachta indica,"Antibacterial, skin purifier","Azadirachtin, Nimbin","Leaf extract, oil","Skin infections, malaria",1–7g/day,Stomach upset,Avoid with laxatives,India
Clove Variant-199,Syzygium aromaticum,"Pain relief, antiseptic",Eugenol,"Powder, oil","Toothache, infections",4–8g/day,Stomach upset,May interact with blood thinners,South America
Clove Variant-200,Syzygium aromaticum,"Pain relief, antiseptic",Eugenol,"Powder, oil","Toothache, infections",2–6g/day,Mild heartburn,None known,South America
Garlic Variant-201,Allium sativum,"Antibacterial, heart health",Allicin,"Raw, capsule","Hypertension, infection",5–7g/day,Stomach upset,Enhances anticoagulants,South America
Turmeric Variant-202,Curcuma longa,"Anti-inflammatory, antioxidant",Curcumin,"Powder, capsule","Arthritis, liver issues",2–10g/day,Stomach upset,Avoid with diabetes drugs,Asia
Aloe Vera Variant-203,Aloe barbadensis,"Wound healing, digestion","Aloin, Acemannan","Gel, juice","Burns, ulcers, constipation",2–8g/day,Dizziness,None known,India
Moringa Variant-204,Moringa oleifera,"Immune booster, energy tonic","Quercetin, Chlorogenic acid","Leaf powder, tea","Fatigue, diabetes",1–8g/day,Stomach upset,May interact with blood thinners,Europe
Bitter Leaf Variant-205,Vernonia amygdalina,"Detoxifier, appetite stimulant","Vernodalin, Lactones","Leaf juice, decoction","Malaria, diabetes",2–8g/day,Liver stress (overdose),Enhances anticoagulants,South America
Scent Leaf Variant-206,Ocimum gratissimum,"Antimicrobial, respiratory aid","Eugenol, Thymol","Leaf infusion, oil","Cough, infections",1–10g/day,Mild heartburn,May interact with blood thinners,Europe
Ginger Variant-207,Zingiber officinale,"Anti-inflammatory, digestion aid","Gingerol, Shogaol","Tea, powder, capsule","Nausea, arthritis, cold",2–7g/day,Mild heartburn,Avoid with diabetes drugs,Africa
Clove Variant-208,Syzygium aromaticum,"Pain relief, antiseptic",Eugenol,"Powder, oil","Toothache, infections",3–10g/day,Mild heartburn,Avoid with diabetes drugs,Europe
Scent Leaf Variant-209,Ocimum gratissimum,"Antimicrobial, respiratory aid","Eugenol, Thymol","Leaf infusion, oil","Cough, infections",3–9g/day,Liver stress (overdose),Enhances anticoagulants,Africa
Aloe Vera Variant-210,Aloe barbadensis,"Wound healing, digestion","Aloin, Acemannan","Gel, juice","Burns, ulcers, constipation",1–10g/day,None known,May interact with blood thinners,South America
Moringa Variant-211,Moringa oleifera,"Immune booster, energy tonic","Quercetin, Chlorogenic acid","Leaf powder, tea","Fatigue, diabetes",5–10g/day,Dizziness,Avoid with laxatives,Asia
Turmeric Variant-212,Curcuma longa,"Anti-inflammatory, antioxidant",Curcumin,"Powder, capsule","Arthritis, liver issues",1–10g/day,Dizziness,May interact with blood thinners,India
Turmeric Variant-213,Curcuma longa,"Anti-inflammatory, antioxidant",Curcumin,"Powder, capsule","Arthritis, liver issues",4–10g/day,Stomach upset,May interact with blood thinners,Asia
Neem Variant-214,Azadirachta indica,"Antibacterial, skin purifier","Azadirachtin, Nimbin","Leaf extract, oil","Skin infections, malaria",2–10g/day,Liver stress (overdose),Enhances anticoagulants,Middle East
Neem Variant-215,Azadirachta indica,"Antibacterial, skin purifier","Azadirachtin, Nimbin","Leaf extract, oil","Skin infections, malaria",2–9g/day,None known,May interact with blood thinners,South America
Aloe Vera Variant-216,Aloe barbadensis,"Wound healing, digestion","Aloin, Acemannan","Gel, juice","Burns, ulcers, constipation",2–7g/day,Liver stress (overdose),May interact with blood thinners,Middle East
Ginger Variant-217,Zingiber officinale,"Anti-inflammatory, digestion aid","Gingerol, Shogaol","Tea, powder, capsule","Nausea, arthritis, cold",3–10g/day,Liver stress (overdose),None known,Europe
Scent Leaf Variant-218,Ocimum gratissimum,"Antimicrobial, respiratory aid","Eugenol, Thymol","Leaf infusion, oil","Cough, infections",4–9g/day,None known,May interact with blood thinners,Europe
Bitter Leaf Variant-219,Vernonia amygdalina,"Detoxifier, appetite stimulant","Vernodalin, Lactones","Leaf juice, decoction","Malaria, diabetes",3–9g/day,None known,Enhances anticoagulants,Africa
Neem Variant-220,Azadirachta indica,"Antibacterial, skin purifier","Azadirachtin, Nimbin","Leaf extract, oil","Skin infections, malaria",5–7g/day,None known,Avoid with laxatives,Africa
Bitter Leaf Variant-221,Vernonia amygdalina,"Detoxifier, appetite stimulant","Vernodalin, Lactones","Leaf juice, decoction","Malaria, diabetes",4–7g/day,Mild heartburn,None known,Europe
Bitter Leaf Variant-222,Vernonia amygdalina,"Detoxifier, appetite stimulant","Vernodalin, Lactones","Leaf juice, decoction","Malaria, diabetes",2–6g/day,Dizziness,Avoid with laxatives,South America
Bitter Leaf Variant-223,Vernonia amygdalina,"Detoxifier, appetite stimulant","Vernodalin, Lactones","Leaf juice, decoction","Malaria, diabetes",4–8g/day,Dizziness,None known,Europe
Neem Variant-224,Azadirachta indica,"Antibacterial, skin purifier","Azadirachtin, Nimbin","Leaf extract, oil","Skin infections, malaria",4–7g/day,Mild heartburn,None known,India
Aloe Vera Variant-225,Aloe barbadensis,"Wound healing, digestion","Aloin, Acemannan","Gel, juice","Burns, ulcers, constipation",5–8g/day,Dizziness,Enhances anticoagulants,Africa
Scent Leaf Variant-226,Ocimum gratissimum,"Antimicrobial, respiratory aid","Eugenol, Thymol","Leaf infusion, oil","Cough, infections",5–8g/day,Mild heartburn,None known,Middle East
Scent Leaf Variant-227,Ocimum gratissimum,"Antimicrobial, respiratory aid","Eugenol, Thymol","Leaf infusion, oil","Cough, infections",1–8g/day,Dizziness,None known,Africa
Ginger Variant-228,Zingiber officinale,"Anti-inflammatory, digestion aid","Gingerol, Shogaol","Tea, powder, capsule","Nausea, arthritis, cold",4–7g/day,Liver stress (overdose),None known,India
Neem Variant-229,Azadirachta indica,"Antibacterial, skin purifier","Azadirachtin, Nimbin","Leaf extract, oil","Skin infections, malaria",1–8g/day,None known,May interact with blood thinners,India
Ginger Variant-230,Zingiber officinale,"Anti-inflammatory, digestion aid","Gingerol, Shogaol","Tea, powder, capsule","Nausea, arthritis, cold",3–10g/day,Mild heartburn,May interact with blood thinners,India
Scent Leaf Variant-231,Ocimum gratissimum,"Antimicrobial, respiratory aid","Eugenol, Thymol","Leaf infusion, oil","Cough, infections",3–9g/day,Mild heartburn,Avoid with laxatives,India
Clove Variant-232,Syzygium aromaticum,"Pain relief, antiseptic",Eugenol,"Powder, oil","Toothache, infections",5–8g/day,Stomach upset,Avoid with laxatives,Middle East
Neem Variant-233,Azadirachta indica,"Antibacterial, skin purifier","Azadirachtin, Nimbin","Leaf extract, oil","Skin infections, malaria",1–7g/day,Liver stress (overdose),Enhances anticoagulants,South America
Clove Variant-234,Syzygium aromaticum,"Pain relief, antiseptic",Eugenol,"Powder, oil","Toothache, infections",1–6g/day,Dizziness,Enhances anticoagulants,Europe
Turmeric Variant-235,Curcuma longa,"Anti-inflammatory, antioxidant",Curcumin,"Powder, capsule","Arthritis, liver issues",5–10g/day,Mild heartburn,None known,India
Scent Leaf Variant-236,Ocimum gratissimum,"Antimicrobial, respiratory aid","Eugenol, Thymol","Leaf infusion, oil","Cough, infections",5–10g/day,None known,May interact with blood thinners,South America
Hibiscus Variant-237,Hibiscus sabdariffa,Blood pressure control,"Anthocyanins, Hibiscic acid",Tea,Hypertension,4–8g/day,None known,May interact with blood thinners,Europe
Neem Variant-238,Azadirachta indica,"Antibacterial, skin purifier","Azadirachtin, Nimbin","Leaf extract, oil","Skin infections, malaria",2–10g/day,None known,None known,Asia
Ginger Variant-239,Zingiber officinale,"Anti-inflammatory, digestion aid","Gingerol, Shogaol","Tea, powder, capsule","Nausea, arthritis, cold",5–9g/day,Liver stress (overdose),Avoid with laxatives,Europe
Scent Leaf Variant-240,Ocimum gratissimum,"Antimicrobial, respiratory aid","Eugenol, Thymol","Leaf infusion, oil","Cough, infections",3–10g/day,Liver stress (overdose),May interact with blood thinners,Africa
Moringa Variant-241,Moringa oleifera,"Immune booster, energy tonic","Quercetin, Chlorogenic acid","Leaf powder, tea","Fatigue, diabetes",5–7g/day,Liver stress (overdose),Avoid with laxatives,Africa
Turmeric Variant-242,Curcuma longa,"Anti-inflammatory, antioxidant",Curcumin,"Powder, capsule","Arthritis, liver issues",2–10g/day,Mild heartburn,Avoid with diabetes drugs,Middle East
